service_id,date,exception_type
5,20200101,2
5,20200224,2
5,20200225,2
5,20200323,2
5,20200324,2
5,20200402,2
5,20200409,2
5,20200410,2
5,20200501,2
5,20200525,2
5,20200617,2
6,20200620,2
5,20200709,2
5,20200710,2
5,20200817,2
5,20201012,2
5,20201123,2
5,20201207,2
5,20201208,2
5,20201225,2
5,20210101,2
5,20210215,2
5,20210216,2
5,20210324,2
5,20210401,2
5,20210402,2
6,20210501,2
5,20210524,2
5,20210525,2
7,20210620,2
5,20210621,2
5,20210709,2
5,20210816,2
5,20211008,2
5,20211011,2
5,20211122,2
5,20211208,2
6,20211225,2
5,20231120,2
7,20231120,1
5,20231208,2
7,20231208,1
5,20231225,2
7,20231225,1
5,20240101,2
7,20240101,1
5,20240212,2
7,20240212,1
5,20240213,2
7,20240213,1
5,20240329,2
7,20240329,1
5,20240401,2
7,20240401,1
5,20240402,2
7,20240402,1
5,20240501,2
7,20240501,1
6,20240525,2
7,20240525,1
5,20240617,2
7,20240617,1
5,20240620,2
7,20240620,1
5,20240621,2
7,20240621,1
5,20240709,2
7,20240709,1
6,20240817,2
7,20240817,1
5,20241011,2
7,20241011,1
6,20241012,2
7,20241012,1
5,20241118,2
7,20241118,1
5,20241208,2
7,20241208,1
5,20241225,2
7,20241225,1
5,20250101,2
7,20250101,1
5,20250303,2
7,20250303,1
5,20250304,2
7,20250304,1
5,20250324,2
7,20250324,1
5,20250402,2
7,20250402,1
5,20250418,2
7,20250418,1
5,20250501,2
7,20250501,1
5,20250502,2
7,20250502,1
5,20250620,2
7,20250620,1
5,20250709,2
7,20250709,1
5,20250815,2
7,20250815,1
5,20251010,2
7,20251010,1
5,20251121,2
7,20251121,1
5,20251124,2
7,20251124,1
5,20251208,2
7,20251208,1
5,20251225,2
7,20251225,1
5,20260101,2
7,20260101,1
5,20260216,2
7,20260216,1
5,20260217,2
7,20260217,1
5,20260323,2
7,20260323,1
5,20260324,2
7,20260324,1
5,20260402,2
7,20260402,1
5,20260403,2
7,20260403,1
5,20260501,2
7,20260501,1
5,20260525,2
7,20260525,1
5,20260615,2
7,20260615,1
6,20260620,2
7,20260620,1
5,20260709,2
7,20260709,1
5,20260710,2
7,20260710,1
5,20260817,2
7,20260817,1
5,20261012,2
7,20261012,1
5,20261123,2
7,20261123,1
5,20261207,2
7,20261207,1
5,20261208,2
7,20261208,1
5,20261225,2
7,20261225,1


